Details for  Ephrata; January 01, 2022 to July 27, 2022
DATE,MIN_AIR_TEMP,AIR_TEMP,MAX_AIR_TEMP,DEWPOINT,REL_HUMIDITY,SOIL_TEMP_2_IN,MIN_SOIL_TEMP_8_IN,AVG_SOIL_TEMP_8_IN,SOIL_WP_2_IN,SOIL_WP_8_IN,PRECIP,SOLAR_RAD,ET_GRASS,ET_ALFALFA,
"2022-01-14",20.0,27.9,32.4,26.7,97.7,30.1,30.0,30.2,NA,-1202.2,0.00,3.85,0.01,0.01,
"2022-01-15",31.3,32.4,33.8,32.0,98.9,30.7,30.4,30.6,NA,-1163.0,0.01,3.73,0.01,0.01,
"2022-01-16",29.9,31.1,34.1,29.1,93.4,31.1,30.7,31.0,NA,-1114.7,0.01,5.15,0.01,0.01,
"2022-01-17",28.0,29.2,31.1,27.6,95.8,31.4,31.1,31.2,NA,-1069.2,0.00,3.88,0.01,0.01,
"2022-01-18",22.8,27.8,30.5,25.7,94.3,31.5,31.3,31.4,NA,-1008.6,0.00,4.69,0.01,0.01,
"2022-01-19",22.1,28.3,34.3,26.1,94.0,31.2,31.5,31.5,NA,-993.0,0.00,3.96,0.01,0.01,
"2022-01-20",29.2,32.2,39.3,31.1,96.4,31.5,31.5,31.6,NA,-956.3,0.00,3.88,0.01,0.02,
"2022-01-21",18.0,26.6,37.2,22.5,87.8,31.4,31.6,31.6,NA,-901.4,0.00,5.92,0.02,0.03,
"2022-01-22",7.4,18.5,27.0,15.0,92.6,30.4,31.1,31.4,NA,-989.2,0.00,7.29,0.01,0.01,
"2022-01-23",24.2,29.0,32.3,26.5,92.4,30.7,31.3,31.3,NA,-1027.8,0.00,3.83,0.01,0.01,
"2022-01-24",12.0,26.6,31.8,23.1,89.8,31.1,31.5,31.5,NA,-984.8,0.00,5.79,0.01,0.01,
"2022-01-25",14.7,26.0,28.8,24.1,96.1,30.7,31.3,31.4,NA,-996.3,0.01,2.72,0.00,0.00,
"2022-01-26",25.9,29.3,33.0,25.3,86.9,31.0,31.5,31.5,NA,-997.9,0.00,3.92,0.02,0.02,
"2022-01-27",25.1,27.5,30.3,23.9,89.2,31.2,31.5,31.5,NA,-963.1,0.00,3.41,0.02,0.02,
"2022-01-28",26.1,27.3,29.8,22.7,85.4,31.1,31.5,31.6,NA,-943.1,0.00,3.42,0.02,0.03,
"2022-01-29",25.0,26.5,28.5,21.7,84.7,31.0,31.5,31.5,NA,-953.6,0.00,3.41,0.02,0.02,
"2022-01-30",25.0,26.9,29.8,24.6,94.0,31.0,31.5,31.5,NA,-972.0,0.00,3.16,0.01,0.02,
"2022-01-31",19.9,29.3,39.8,21.8,76.0,30.9,31.3,31.4,NA,-987.6,0.00,9.96,0.03,0.04,
"2022-02-01",10.1,22.7,35.4,15.7,79.3,31.2,31.1,31.3,NA,-1018.2,0.00,8.94,0.02,0.04,
"2022-02-02",15.8,23.3,28.0,11.3,63.5,30.5,30.6,30.9,NA,-1091.8,0.00,5.55,0.02,0.04,
"2022-02-03",15.4,21.6,28.9,15.4,81.8,29.5,29.8,30.3,NA,-1142.4,0.00,6.04,0.02,0.02,
"2022-02-04",14.1,21.7,31.8,17.7,89.7,28.3,28.9,29.4,NA,-1195.3,0.00,5.50,0.02,0.03,
"2022-02-05",18.5,23.9,31.8,21.6,95.5,28.6,28.9,29.4,NA,-1202.6,0.00,6.50,0.01,0.02,
"2022-02-06",14.8,23.9,35.2,20.3,90.5,28.3,28.6,29.2,NA,-1219.0,0.00,9.49,0.02,0.02,
"2022-02-07",15.1,25.6,36.2,22.3,91.2,29.0,29.1,29.5,NA,-1216.1,0.00,9.14,0.02,0.03,
"2022-02-08",21.7,29.6,35.7,26.2,89.0,29.4,29.7,30.0,NA,-1196.8,0.00,5.38,0.02,0.02,
"2022-02-09",22.3,32.1,40.9,28.0,86.7,30.6,30.4,30.5,NA,-1152.2,0.00,10.68,0.02,0.03,
"2022-02-10",24.8,31.6,40.6,28.3,89.3,31.8,30.9,31.1,NA,-1070.3,0.00,9.27,0.02,0.03,
"2022-02-11",22.6,35.7,47.5,22.5,63.0,31.8,31.3,31.4,NA,-986.3,0.00,11.12,0.04,0.07,
"2022-02-12",18.2,29.4,41.2,20.0,70.2,31.8,31.5,31.5,NA,-950.1,0.00,11.92,0.03,0.04,
"2022-02-13",16.7,27.5,38.6,20.8,79.1,31.5,31.1,31.4,NA,-985.6,0.00,11.84,0.03,0.03,
"2022-02-14",27.6,32.2,42.0,27.3,83.9,31.8,31.5,31.6,NA,-920.3,0.00,9.13,0.03,0.04,
"2022-02-15",26.6,36.3,51.1,28.2,73.6,31.8,31.6,31.8,NA,-799.3,0.00,12.12,0.05,0.07,
"2022-02-16",29.6,40.9,50.6,28.1,61.1,32.1,31.8,31.9,NA,-613.1,0.00,12.38,0.05,0.08,
"2022-02-17",26.2,33.8,43.1,28.8,82.9,32.2,32.2,32.2,NA,-53.9,0.00,4.82,0.03,0.04,
"2022-02-18",28.1,37.6,52.5,31.3,79.6,32.9,32.2,32.2,NA,-24.2,0.00,10.56,0.05,0.07,
"2022-02-19",30.5,38.4,51.3,31.9,79.2,32.9,32.2,32.2,NA,-10.0,0.00,5.98,0.06,0.08,
"2022-02-20",31.7,37.9,47.5,29.4,72.6,33.3,32.2,32.4,NA, -6.0,0.00,8.19,0.05,0.07,
"2022-02-21",22.5,30.0,35.1,22.1,74.3,32.2,32.4,32.4,NA, -1.8,0.03,5.07,0.03,0.05,
"2022-02-22",14.1,20.2,25.0,2.0,48.2,32.2,32.4,32.4,NA, -5.4,0.00,13.66,0.05,0.07,
"2022-02-23",9.7,19.5,27.6,2.9,52.4,31.8,32.4,32.4,NA, -9.1,0.01,13.53,0.04,0.06,
"2022-02-24",12.3,20.2,28.8,12.6,77.8,32.0,32.4,32.4,NA,-10.8,0.09,14.04,0.03,0.04,
"2022-02-25",8.8,17.5,28.6,10.4,80.3,31.8,32.4,32.4,NA,-12.5,0.00,14.03,0.03,0.04,
"2022-02-26",12.3,25.3,37.6,17.3,75.9,31.0,32.4,32.4,NA,-16.9,0.00,12.97,0.04,0.05,
"2022-02-27",29.1,33.7,39.2,29.3,84.6,32.1,32.4,32.4,NA,-18.1,0.05,8.08,0.03,0.03,
"2022-02-28",32.0,37.6,47.8,35.8,93.5,33.1,32.4,32.9,NA, -3.5,0.04,7.59,0.03,0.04,
"2022-03-01",30.9,43.8,62.2,39.1,85.1,37.7,32.9,36.0,NA, -0.8,0.00,11.55,0.06,0.09,
"2022-03-02",34.9,43.0,51.1,39.8,89.0,39.6,37.2,38.8,NA, -1.3,0.00,5.58,0.03,0.04,
"2022-03-03",32.4,43.8,54.5,37.0,79.4,42.0,38.8,40.8,NA, -1.3,0.17,11.15,0.05,0.07,
"2022-03-04",29.5,40.2,53.1,28.5,65.6,40.0,37.5,40.2,NA, -2.7,0.00,13.16,0.07,0.10,
"2022-03-05",32.5,42.3,52.9,24.0,49.7,39.6,37.6,40.2,NA, -4.5,0.00,15.81,0.10,0.16,
"2022-03-06",31.4,41.7,53.5,21.9,48.7,39.6,37.6,40.2,NA, -5.7,0.00,16.07,0.10,0.15,
"2022-03-07",30.1,44.1,61.5,28.2,56.3,41.4,37.9,41.0,NA, -6.3,0.00,15.50,0.12,0.18,
"2022-03-08",34.7,41.4,45.4,25.5,53.8,40.4,40.3,41.3,NA, -7.0,0.00,5.22,0.07,0.11,
"2022-03-09",24.3,32.6,40.5,10.9,44.0,38.7,37.6,39.8,NA, -7.6,0.00,16.70,0.08,0.12,
"2022-03-10",19.9,31.3,43.0,15.7,56.0,36.3,36.7,38.2,NA, -8.5,0.00,11.03,0.06,0.08,
"2022-03-11",28.4,35.8,42.6,23.1,60.2,36.6,36.5,37.6,NA, -8.4,0.00,5.57,0.05,0.07,
"2022-03-12",29.8,40.9,56.1,30.3,68.7,39.2,36.3,38.8,NA, -8.7,0.00,12.58,0.07,0.10,
"2022-03-13",36.1,47.1,59.0,35.5,67.3,44.7,40.3,43.3,NA, -9.3,0.00,15.72,0.09,0.13,
"2022-03-14",41.9,47.0,56.1,37.8,71.9,45.4,43.2,44.9,NA, -9.9,0.19,9.06,0.09,0.13,
"2022-03-15",33.1,45.9,58.3,36.0,71.8,46.6,43.3,46.0,NA, -7.9,0.01,17.18,0.10,0.14,
"2022-03-16",30.8,43.0,57.9,30.1,64.7,44.9,42.1,45.6,NA, -9.1,0.00,17.75,0.10,0.15,
"2022-03-17",29.9,39.8,49.1,31.7,73.8,43.0,42.6,44.6,NA,-10.0,0.00,8.90,0.05,0.07,
"2022-03-18",32.4,43.6,56.0,34.2,71.4,44.5,41.5,44.3,NA,-10.3,0.00,12.44,0.07,0.10,
"2022-03-19",31.4,44.2,57.1,33.3,68.8,45.3,44.0,45.6,NA,-10.7,0.00,10.76,0.09,0.12,
"2022-03-20",25.6,40.0,52.4,25.2,57.7,44.1,41.4,44.6,NA,-11.2,0.00,14.24,0.08,0.12,
"2022-03-21",38.9,44.7,52.4,37.9,77.6,45.9,44.1,45.8,NA,-11.6,0.01,10.46,0.07,0.09,
"2022-03-22",42.0,50.9,62.6,42.5,74.9,50.4,45.5,48.6,NA,-12.0,0.00,18.24,0.10,0.13,
"2022-03-23",41.2,52.7,66.2,41.3,67.0,52.1,48.4,51.2,NA,-12.7,0.00,15.24,0.12,0.16,
"2022-03-24",32.5,47.0,58.4,21.3,38.4,49.9,47.3,50.3,NA,-13.7,0.00,16.05,0.11,0.16,
"2022-03-25",34.5,47.7,61.3,28.6,51.4,50.2,46.9,50.0,NA,-14.6,0.00,15.14,0.10,0.13,
"2022-03-26",39.7,52.1,64.3,35.2,54.6,52.2,48.4,51.4,NA,-15.7,0.00,16.13,0.11,0.14,
"2022-03-27",44.0,56.5,69.1,40.8,58.3,54.6,50.5,53.4,NA,-17.1,0.00,14.69,0.11,0.15,
"2022-03-28",44.2,56.4,70.6,39.3,56.9,54.6,51.3,54.0,NA,-19.0,0.00,15.48,0.14,0.20,
"2022-03-29",45.3,55.3,66.2,34.4,46.6,55.4,51.6,55.0,NA,-22.0,0.00,19.56,0.15,0.21,
"2022-03-30",36.4,48.4,61.6,31.5,55.7,54.0,52.3,55.0,NA,-25.8,0.00,18.75,0.13,0.18,
"2022-03-31",29.9,44.6,59.3,26.2,52.7,52.4,50.0,53.4,NA,-31.3,0.00,21.03,0.13,0.19,
"2022-04-01",29.0,44.7,58.3,28.0,54.6,51.9,49.6,52.9,NA,-38.4,0.00,19.16,0.11,0.14,
"2022-04-02",36.3,48.5,60.2,29.7,51.2,54.0,51.1,54.1,NA,-50.3,0.00,20.97,0.14,0.19,
"2022-04-03",34.5,46.9,61.0,32.2,58.6,52.9,51.1,53.8,NA,-65.5,0.00,16.26,0.12,0.18,
"2022-04-04",37.4,46.5,53.0,31.2,56.2,53.8,52.3,54.4,NA,-87.1,0.01,21.23,0.13,0.20,
"2022-04-05",28.1,43.8,56.2,22.3,44.2,52.1,49.8,53.1,NA,-126.3,0.00,22.58,0.14,0.19,
"2022-04-06",27.9,43.2,56.7,22.6,48.1,52.1,49.4,52.9,NA,-178.7,0.00,21.56,0.11,0.14,
"2022-04-07",33.8,50.4,67.0,27.4,43.5,54.3,50.7,53.9,NA,-256.3,0.00,20.69,0.14,0.20,
"2022-04-08",35.9,47.7,61.2,29.9,55.4,54.8,52.2,54.9,NA,-368.2,0.00,19.75,0.15,0.22,
"2022-04-09",27.6,40.6,54.1,22.7,52.8,52.4,50.5,53.5,NA,-487.2,0.00,21.93,0.13,0.18,
"2022-04-10",27.2,39.0,50.0,27.4,65.7,51.9,50.2,52.8,NA,-573.5,0.00,18.94,0.09,0.12,
"2022-04-11",31.2,36.0,40.8,30.0,79.6,48.2,49.5,50.9,NA,-637.7,0.04,5.78,0.04,0.06,
"2022-04-12",31.3,36.4,43.4,27.9,72.4,47.0,47.1,48.4,NA,-667.3,0.02,11.88,0.07,0.09,
"2022-04-13",31.7,38.2,47.7,22.7,57.8,47.3,46.4,47.9,NA,-694.8,0.03,12.92,0.10,0.15,
"2022-04-14",28.3,33.7,41.0,30.1,87.0,45.3,45.7,46.8,NA,-725.9,0.04,10.90,0.05,0.06,
"2022-04-15",23.3,35.5,49.3,27.4,76.0,45.9,43.5,46.3,NA,-734.5,0.01,20.05,0.09,0.11,
"2022-04-16",29.0,37.0,44.2,27.8,70.8,44.7,45.1,46.4,NA,-740.6,0.00,8.32,0.06,0.09,
"2022-04-17",27.8,41.8,53.0,25.5,55.8,48.1,43.2,47.1,NA,-753.6,0.00,22.56,0.11,0.15,
"2022-04-18",39.7,45.5,53.3,31.4,58.8,48.9,47.7,49.1,NA,-773.3,0.00,8.25,0.09,0.13,
"2022-04-19",32.2,43.3,56.1,30.0,61.3,50.1,46.2,49.5,NA,-816.6,0.00,20.11,0.12,0.17,
"2022-04-20",26.9,41.5,55.1,32.4,72.8,48.9,46.8,49.3,NA,-884.3,0.16,14.22,0.09,0.11,
"2022-04-21",38.1,47.6,59.8,38.2,73.0,52.1,48.0,50.6,NA,-912.6,0.04,18.19,0.11,0.14,
"2022-04-22",32.6,46.5,62.6,34.5,65.9,53.0,47.7,51.7,NA,-936.9,0.03,21.26,0.13,0.16,
"2022-04-23",34.5,51.5,64.8,33.4,53.8,55.7,49.3,53.5,NA,-966.9,0.00,25.02,0.15,0.20,
"2022-04-24",33.9,51.1,66.9,33.6,56.2,56.8,51.4,55.2,NA,-1023.1,0.00,23.38,0.15,0.20,
"2022-04-25",42.4,52.0,61.9,38.8,61.2,55.2,53.4,55.2,NA,-1118.7,0.00,12.13,0.11,0.15,
"2022-04-26",36.8,48.3,59.8,31.2,54.8,56.4,52.5,55.4,NA,-1195.0,0.00,21.33,0.15,0.20,
"2022-04-27",34.1,45.4,59.1,29.7,56.6,55.1,52.0,55.0,NA,-1299.4,0.00,18.41,0.12,0.17,
"2022-04-28",33.1,46.8,59.9,30.7,55.3,54.3,51.8,54.4,NA,-1403.0,0.00,16.54,0.11,0.15,
"2022-04-29",34.1,50.1,62.4,31.4,51.7,56.5,52.2,55.5,NA,-1474.6,0.00,21.80,0.15,0.20,
"2022-04-30",42.0,48.1,54.6,42.3,80.9,55.3,54.5,55.6,NA,-1548.3,0.08,8.94,0.07,0.08,
"2022-05-01",37.9,53.6,67.2,40.4,64.7,57.6,51.8,55.5,NA,-1601.6,0.00,23.24,0.15,0.19,
"2022-05-02",43.5,50.8,58.4,43.7,77.3,56.4,55.4,56.5,NA,-1653.4,0.04,9.04,0.08,0.11,
"2022-05-03",41.5,57.2,70.2,40.5,56.3,59.4,52.9,56.7,NA,-1672.9,0.00,26.48,0.19,0.25,
"2022-05-04",42.0,57.8,71.3,44.0,62.8,61.7,56.6,59.6,NA,-1641.0,0.00,19.32,0.14,0.18,
"2022-05-05",44.0,52.8,58.7,46.0,78.2,58.0,57.0,58.8,NA,-1694.8,0.15,8.55,0.07,0.09,
"2022-05-06",38.6,49.2,62.6,42.2,77.5,54.8,53.4,55.4,NA,Too Dry/NA,0.02,13.09,0.10,0.13,
"2022-05-07",36.4,50.1,61.1,36.0,61.5,58.3,53.8,56.7,NA,Too Dry/NA,0.00,23.97,0.15,0.20,
"2022-05-08",30.0,43.9,57.4,29.3,59.7,57.2,53.2,57.0,NA,Too Dry/NA,0.00,23.48,0.13,0.17,
"2022-05-09",30.6,47.1,61.8,29.1,53.5,58.8,53.1,57.3,NA,Too Dry/NA,0.00,27.43,0.16,0.21,
"2022-05-10",32.4,48.8,63.5,30.7,54.3,60.7,54.9,58.9,NA,Too Dry/NA,0.00,27.59,0.16,0.21,
"2022-05-11",34.0,50.2,64.7,29.2,49.4,61.7,55.9,59.8,NA,Too Dry/NA,0.00,28.30,0.17,0.23,
"2022-05-12",36.3,48.8,60.5,36.7,64.4,59.6,57.7,59.7,NA,Too Dry/NA,0.00,17.90,0.13,0.18,
"2022-05-13",31.0,47.8,60.1,27.7,50.3,59.5,54.7,58.2,NA,Too Dry/NA,0.00,26.18,0.15,0.20,
"2022-05-14",45.2,52.2,62.9,44.1,75.2,60.3,57.7,59.4,NA,Too Dry/NA,0.02,16.92,0.11,0.14,
"2022-05-15",48.8,57.0,69.6,48.8,75.1,60.8,58.1,59.7,NA,Too Dry/NA,0.02,14.31,0.12,0.16,
"2022-05-16",40.3,55.4,71.5,41.4,64.9,63.2,57.4,60.7,NA,Too Dry/NA,0.00,23.90,0.17,0.22,
"2022-05-17",37.9,54.0,69.8,33.6,50.7,64.3,58.5,61.9,NA,Too Dry/NA,0.00,26.25,0.18,0.24,
"2022-05-18",42.5,54.5,66.8,37.0,53.8,65.0,60.6,63.1,NA,Too Dry/NA,0.00,23.55,0.19,0.27,
"2022-05-19",34.4,50.0,62.7,30.3,49.3,63.9,59.0,62.4,NA,Too Dry/NA,0.00,28.36,0.19,0.26,
"2022-05-20",43.7,53.0,65.6,36.8,55.7,63.2,60.4,62.5,NA,Too Dry/NA,0.00,17.27,0.16,0.22,
"2022-05-21",40.5,53.0,64.8,40.0,63.8,64.9,59.4,62.5,NA,Too Dry/NA,0.00,25.26,0.16,0.19,
"2022-05-22",39.2,56.3,70.7,39.1,56.6,66.9,60.1,63.8,NA,Too Dry/NA,0.00,27.83,0.18,0.22,
"2022-05-23",44.7,58.8,73.7,40.1,52.7,68.6,62.6,65.6,NA,Too Dry/NA,0.00,22.90,0.19,0.25,
"2022-05-24",42.6,57.2,68.7,39.6,54.3,66.1,62.6,65.0,NA,Too Dry/NA,0.00,17.92,0.14,0.18,
"2022-05-25",50.2,62.0,75.6,45.5,57.8,70.1,63.1,66.1,NA,Too Dry/NA,0.00,24.73,0.19,0.24,
"2022-05-26",47.5,63.0,76.4,44.7,54.9,70.7,64.9,67.9,NA,-1714.6,0.06,20.72,0.17,0.21,
"2022-05-27",45.7,57.4,66.6,47.2,71.4,66.5,65.1,66.5,NA,Too Dry/NA,0.01,12.52,0.11,0.14,
"2022-05-28",39.2,52.2,61.9,41.1,67.7,62.9,61.5,63.6,NA,Too Dry/NA,0.01,16.87,0.11,0.13,
"2022-05-29",49.8,56.5,66.1,42.2,61.4,64.0,61.5,63.5,NA,Too Dry/NA,0.02,18.22,0.17,0.23,
"2022-05-30",49.2,56.1,68.3,42.8,61.3,63.9,62.1,63.7,NA,Too Dry/NA,0.00,15.56,0.15,0.21,
"2022-05-31",46.6,62.2,75.4,45.1,57.8,69.4,62.2,65.7,NA,Too Dry/NA,0.00,26.94,0.20,0.24,
"2022-06-01",46.8,65.2,77.8,46.0,52.8,71.3,65.1,68.2,NA,-1698.7,0.00,21.59,0.18,0.23,
"2022-06-02",53.4,67.6,82.9,50.9,58.9,73.7,66.6,69.6,NA,-1658.6,0.00,22.62,0.21,0.28,
"2022-06-03",52.0,60.7,70.7,55.4,83.4,70.2,68.0,69.4,NA,-1689.6,0.15,14.73,0.11,0.13,
"2022-06-04",52.5,59.3,68.1,51.1,75.9,67.7,65.5,67.1,NA,Too Dry/NA,0.03,17.09,0.13,0.16,
"2022-06-05",50.5,60.9,73.5,52.9,77.2,70.2,64.9,68.1,NA,-1697.8,0.64,22.88,0.16,0.20,
"2022-06-06",45.3,59.8,73.0,43.6,59.0,71.6,63.7,68.8,NA,-1613.8,0.00,30.12,0.21,0.26,
"2022-06-07",44.6,62.4,74.7,44.9,55.9,72.1,65.3,70.5,NA,-1354.4,0.00,26.75,0.18,0.22,
"2022-06-08",55.2,66.2,79.5,49.1,56.2,74.2,68.9,72.7,NA,-1024.7,0.00,24.80,0.21,0.26,
"2022-06-09",54.9,62.7,70.6,48.5,61.6,70.2,69.1,71.1,NA,-953.6,0.01,12.31,0.12,0.15,
"2022-06-10",55.4,62.9,74.9,56.1,80.8,69.8,67.6,70.0,NA,-958.2,0.15,15.94,0.14,0.17,
"2022-06-11",52.7,63.9,75.4,50.9,66.4,73.1,66.4,70.7,NA,-936.9,0.01,29.22,0.21,0.26,
"2022-06-12",47.5,58.0,71.3,45.7,67.0,68.9,67.6,70.1,NA,-929.4,0.36,16.36,0.15,0.19,
"2022-06-13",44.1,54.0,66.9,42.5,68.3,63.4,63.7,65.7,NA,-1033.4,0.13,16.48,0.15,0.20,
"2022-06-14",40.3,53.7,65.6,39.1,60.3,61.3,60.1,62.7,NA,-749.4,0.00,18.50,0.15,0.20,
"2022-06-15",41.6,57.1,69.8,43.4,62.7,64.5,59.7,63.9,NA,-343.3,0.00,21.19,0.15,0.18,
"2022-06-16",50.3,64.2,75.8,49.4,61.2,69.4,64.0,67.9,NA,-286.7,0.00,23.11,0.18,0.22,
"2022-06-17",54.3,64.7,76.1,46.1,52.3,69.6,67.1,69.7,NA,-296.4,0.00,17.83,0.19,0.27,
"2022-06-18",49.5,60.7,74.2,47.2,63.4,70.9,66.6,70.4,NA,-322.5,0.08,23.85,0.20,0.26,
"2022-06-19",53.0,62.2,74.7,47.7,63.1,71.6,67.3,70.9,NA,-353.5,0.01,23.84,0.19,0.23,
"2022-06-20",48.4,64.9,78.0,47.0,54.6,74.0,67.5,72.4,NA,-383.7,0.00,29.04,0.22,0.28,
"2022-06-21",49.0,67.2,83.2,48.8,54.7,76.1,69.8,74.5,NA,-414.0,0.00,29.90,0.24,0.31,
"2022-06-22",55.2,70.9,84.5,49.4,50.4,78.0,72.0,76.3,NA,-450.7,0.00,28.00,0.26,0.34,
"2022-06-23",48.2,66.6,78.4,38.0,39.3,78.1,72.3,76.7,NA,-499.5,0.00,30.73,0.25,0.33,
"2022-06-24",56.5,68.5,80.3,38.7,34.9,79.5,73.6,77.7,NA,-548.0,0.00,30.21,0.29,0.40,
"2022-06-25",48.7,68.7,84.1,45.3,46.8,79.8,73.6,77.9,NA,-603.3,0.00,30.42,0.25,0.32,
"2022-06-26",51.7,73.4,91.2,46.8,44.3,81.2,74.3,78.7,NA,-653.1,0.00,30.38,0.27,0.34,
"2022-06-27",52.8,76.9,96.0,52.6,47.5,83.4,76.1,80.3,NA,-690.7,0.00,29.70,0.26,0.32,
"2022-06-28",55.2,72.4,83.3,50.6,50.5,84.4,78.1,81.7,NA,-731.5,0.00,29.78,0.27,0.35,
"2022-06-29",49.3,67.1,84.0,48.5,56.0,82.8,76.6,80.6,NA,-807.5,0.00,30.16,0.24,0.30,
"2022-06-30",54.8,71.0,85.3,49.0,49.0,83.5,77.2,80.9,NA,-863.2,0.00,28.38,0.23,0.29,
"2022-07-01",54.6,73.0,88.5,51.2,50.4,84.2,77.2,81.2,NA,-919.6,0.00,29.71,0.24,0.30,
"2022-07-02",56.1,73.3,89.1,52.2,50.9,84.3,78.3,81.8,NA,-968.0,0.00,24.54,0.23,0.29,
"2022-07-03",56.2,65.1,76.6,55.6,72.3,79.9,78.4,80.0,NA,-1034.7,0.02,18.78,0.16,0.20,
"2022-07-04",52.6,64.1,77.6,49.8,62.2,78.9,75.4,78.0,NA,-1111.5,0.00,20.67,0.18,0.24,
"2022-07-05",50.2,67.4,82.5,51.3,60.6,81.0,75.0,78.7,NA,-1129.6,0.00,26.48,0.20,0.25,
"2022-07-06",61.1,69.2,81.7,57.8,69.3,81.0,77.5,79.5,NA,-1147.2,0.04,19.04,0.17,0.21,
"2022-07-07",58.8,68.0,80.6,58.3,74.3,79.8,76.1,78.8,NA,-1161.5,0.35,22.59,0.18,0.22,
"2022-07-08",55.3,70.1,85.3,53.1,58.5,79.3,74.3,78.2,NA,-1175.2,0.00,25.77,0.21,0.26,
"2022-07-09",52.1,69.2,84.4,49.2,52.5,79.3,74.7,78.6,NA,-1173.9,0.00,26.86,0.23,0.30,
"2022-07-10",52.1,70.5,85.3,50.6,53.1,81.1,75.4,79.5,NA,-1162.0,0.00,28.48,0.24,0.31,
"2022-07-11",55.9,74.6,91.0,53.6,52.1,82.9,76.6,81.0,NA,-1149.0,0.00,29.51,0.25,0.30,
"2022-07-12",56.7,78.5,95.9,54.4,48.9,84.8,78.3,82.5,NA,-1144.3,0.00,28.91,0.25,0.31,
"2022-07-13",62.9,75.5,90.6,52.3,46.8,85.3,79.9,83.5,NA,-1157.3,0.00,26.91,0.26,0.35,
"2022-07-14",53.5,74.1,90.1,48.3,45.0,84.9,79.1,83.0,NA,-1189.5,0.00,29.55,0.25,0.31,
"2022-07-15",55.3,74.6,92.6,50.0,47.4,85.7,79.5,83.5,NA,-1192.3,0.00,29.14,0.27,0.35,
"2022-07-16",56.7,75.1,91.4,52.9,48.4,86.6,80.2,84.1,NA,-1191.4,0.00,28.54,0.27,0.35,
"2022-07-17",53.7,69.2,83.0,47.0,47.7,86.2,80.6,84.2,NA,-1200.8,0.00,29.19,0.26,0.35,
"2022-07-18",49.3,68.3,83.3,47.9,51.4,84.8,79.5,83.2,NA,-1225.6,0.00,28.24,0.25,0.33,
"2022-07-19",52.8,73.0,91.7,53.0,54.5,86.1,79.9,83.5,NA,-1232.2,0.00,28.22,0.25,0.32,
"2022-07-20",59.6,78.1,96.2,54.3,48.6,88.1,81.0,84.8,NA,-1220.6,0.00,28.72,0.27,0.34,
"2022-07-21",58.2,77.6,95.9,50.1,42.0,88.4,81.9,85.5,NA,-1218.0,0.00,26.96,0.27,0.35,
"2022-07-22",56.5,76.1,91.4,49.5,42.6,88.5,82.0,85.7,NA,-1222.5,0.00,28.52,0.29,0.39,
"2022-07-23",56.3,73.9,89.0,48.4,45.1,88.5,82.2,85.8,NA,-1226.3,0.00,28.63,0.24,0.30,
"2022-07-24",61.1,79.6,97.3,54.0,46.0,89.5,82.6,86.1,NA,-1226.2,0.00,27.54,0.28,0.36,
"2022-07-25",64.1,83.0,99.5,54.2,41.3,91.3,83.8,87.4,NA,-1207.6,0.00,27.36,0.27,0.34,
